id,artist,member,gender_group,group_type,appearance,position,vibe,relationship,url,source_url
aespa-karina,aespa,KARINA,female,girl_group,貓咪|狐狸,Dance|Rap|Visual|All-rounder,冷感|霸氣|反差,神性|舞台支配感,https://www.youtube.com/results?search_query=aespa+Karina,https://kprofiles.com/aespa-profile/
aespa-giselle,aespa,GISELLE,female,girl_group,貓咪,Rap|Vocal,冷感|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=aespa+Giselle,https://kprofiles.com/aespa-profile/
aespa-winter,aespa,WINTER,female,girl_group,小兔|貓咪,Vocal|Dance|Visual,清冷|反差,白月光感|神性,https://www.youtube.com/results?search_query=aespa+Winter,https://kprofiles.com/aespa-profile/
aespa-ningning,aespa,NINGNING,female,girl_group,貓咪,Vocal|All-rounder,甜系|霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=aespa+Ningning,https://kprofiles.com/aespa-profile/
ive-yujin,IVE,YUJIN,female,girl_group,狗狗,Vocal|Dance|All-rounder,霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=IVE+Yujin,https://kprofiles.com/ive-members-profile/
ive-gaeul,IVE,GAEUL,female,girl_group,狐狸,Dance|Rap,冷感|清冷,舞台支配感|神性,https://www.youtube.com/results?search_query=IVE+Gaeul,https://kprofiles.com/ive-members-profile/
ive-rei,IVE,REI,female,girl_group,小兔|貓咪,Rap|Vocal,甜系|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=IVE+Rei,https://kprofiles.com/ive-members-profile/
ive-wonyoung,IVE,WONYOUNG,female,girl_group,小兔|小鹿,Vocal|Visual,甜系|清冷,白月光感|神性,https://www.youtube.com/results?search_query=IVE+Wonyoung,https://kprofiles.com/ive-members-profile/
ive-liz,IVE,LIZ,female,girl_group,貓咪,Vocal,甜系|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=IVE+Liz,https://kprofiles.com/ive-members-profile/
ive-leeseo,IVE,LEESEO,female,girl_group,小鹿|小兔,Vocal|Dance|Visual,甜系|反差,白月光感|朋友感,https://www.youtube.com/results?search_query=IVE+Leeseo,https://kprofiles.com/ive-members-profile/
qwer-chodan,QWER,CHODAN,female,girl_group,狗狗|貓咪,Vocal|All-rounder,霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=QWER+Chodan,https://kprofiles.com/qwer-members-profile/
qwer-magenta,QWER,MAGENTA,female,girl_group,貓咪|狐狸,Visual|All-rounder,冷感|反差,戀愛感|朋友感,https://www.youtube.com/results?search_query=QWER+Magenta,https://kprofiles.com/qwer-members-profile/
qwer-hina,QWER,HINA,female,girl_group,小兔|小鹿,Visual|All-rounder,甜系|清冷,白月光感|朋友感,https://www.youtube.com/results?search_query=QWER+Hina,https://kprofiles.com/qwer-members-profile/
qwer-siyeon,QWER,SIYEON,female,girl_group,狗狗|小兔,Vocal|All-rounder,甜系|反差,白月光感|舞台支配感,https://www.youtube.com/results?search_query=QWER+Siyeon,https://kprofiles.com/qwer-members-profile/
kissoflife-julie,KISS OF LIFE,JULIE,female,girl_group,貓咪|狐狸,Rap|Dance|All-rounder,冷感|霸氣,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=KISS+OF+LIFE+Julie,https://kprofiles.com/kiss-of-life-members-profile/
kissoflife-natty,KISS OF LIFE,NATTY,female,girl_group,貓咪|狐狸,Dance|Rap|Vocal|All-rounder,霸氣|反差,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=KISS+OF+LIFE+Natty,https://kprofiles.com/kiss-of-life-members-profile/
kissoflife-belle,KISS OF LIFE,BELLE,female,girl_group,小鹿|小兔,Vocal|All-rounder,甜系|反差,神性|白月光感,https://www.youtube.com/results?search_query=KISS+OF+LIFE+Belle,https://kprofiles.com/kiss-of-life-members-profile/
kissoflife-haneul,KISS OF LIFE,HANEUL,female,girl_group,狗狗|小兔,Vocal|Visual,甜系|清冷,朋友感|白月光感,https://www.youtube.com/results?search_query=KISS+OF+LIFE+Haneul,https://kprofiles.com/kiss-of-life-members-profile/
hearts2hearts-carmen,Hearts2Hearts,CARMEN,female,girl_group,狗狗|小鹿,Vocal,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=Hearts2Hearts+Carmen,https://kprofiles.com/hearts2hearts-members-profile/
hearts2hearts-jiwoo,Hearts2Hearts,JIWOO,female,girl_group,小鹿|狗狗,Dance|Rap|Vocal|Visual|All-rounder,清冷|反差,白月光感|朋友感,https://www.youtube.com/results?search_query=Hearts2Hearts+Jiwoo,https://kprofiles.com/hearts2hearts-members-profile/
hearts2hearts-yuha,Hearts2Hearts,YUHA,female,girl_group,小兔|小鹿,Vocal|Dance,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=Hearts2Hearts+Yuha,https://kprofiles.com/hearts2hearts-members-profile/
hearts2hearts-stella,Hearts2Hearts,STELLA,female,girl_group,小鹿|貓咪,Vocal,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=Hearts2Hearts+Stella,https://kprofiles.com/hearts2hearts-members-profile/
hearts2hearts-juun,Hearts2Hearts,JUUN,female,girl_group,貓咪|狐狸,Dance|Rap|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=Hearts2Hearts+Juun,https://kprofiles.com/hearts2hearts-members-profile/
hearts2hearts-ana,Hearts2Hearts,A-NA,female,girl_group,小兔|小鹿,Vocal|Visual,甜系|清冷,白月光感|神性,https://www.youtube.com/results?search_query=Hearts2Hearts+A-NA,https://kprofiles.com/hearts2hearts-members-profile/
hearts2hearts-ian,Hearts2Hearts,IAN,female,girl_group,貓咪|狐狸,Vocal|Visual|All-rounder,冷感|反差,戀愛感|神性,https://www.youtube.com/results?search_query=Hearts2Hearts+Ian,https://kprofiles.com/hearts2hearts-members-profile/
hearts2hearts-yeon,Hearts2Hearts,YE-ON,female,girl_group,小兔|狗狗,Vocal,甜系|清冷,白月光感|朋友感,https://www.youtube.com/results?search_query=Hearts2Hearts+Ye-on,https://kprofiles.com/hearts2hearts-members-profile/
meovv-sooin,MEOVV,SOOIN,female,girl_group,貓咪|狐狸,Dance|Vocal,霸氣|冷感,舞台支配感|神性,https://www.youtube.com/results?search_query=MEOVV+Sooin,https://kprofiles.com/meovv-members-profile/
meovv-gawon,MEOVV,GAWON,female,girl_group,小鹿|貓咪,Vocal|Rap|All-rounder,清冷|霸氣,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=MEOVV+Gawon,https://kprofiles.com/meovv-members-profile/
meovv-anna,MEOVV,ANNA,female,girl_group,小鹿|小兔,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=MEOVV+Anna,https://kprofiles.com/meovv-members-profile/
meovv-narin,MEOVV,NARIN,female,girl_group,貓咪|狐狸,Vocal|Rap|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=MEOVV+Narin,https://kprofiles.com/meovv-members-profile/
meovv-ella,MEOVV,ELLA,female,girl_group,小鹿|狗狗,Vocal|Visual,甜系|反差,白月光感|朋友感,https://www.youtube.com/results?search_query=MEOVV+Ella,https://kprofiles.com/meovv-members-profile/
h1key-seoi,H1-KEY,SEOI,female,girl_group,小鹿|小兔,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=H1-KEY+Seoi,https://kprofiles.com/h1-key-members-profile/
h1key-riina,H1-KEY,RIINA,female,girl_group,貓咪|小鹿,Dance|Vocal|Rap,清冷|反差,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=H1-KEY+Riina,https://kprofiles.com/h1-key-members-profile/
h1key-hwiseo,H1-KEY,HWISEO,female,girl_group,狐狸|小鹿,Vocal|Rap|Dance|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=H1-KEY+Hwiseo,https://kprofiles.com/h1-key-members-profile/
h1key-yel,H1-KEY,YEL,female,girl_group,狗狗|狐狸,Rap|Dance|Vocal|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=H1-KEY+Yel,https://kprofiles.com/h1-key-members-profile/
lesserafim-sakura,LE SSERAFIM,SAKURA,female,girl_group,貓咪|小鹿,Vocal|Visual,清冷|反差,神性|朋友感,https://www.youtube.com/results?search_query=LE+SSERAFIM+Sakura,https://kprofiles.com/le-sserafim-members-profile/
lesserafim-chaewon,LE SSERAFIM,CHAEWON,female,girl_group,小兔|貓咪,Vocal|Dance|All-rounder,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=LE+SSERAFIM+Chaewon,https://kprofiles.com/le-sserafim-members-profile/
lesserafim-yunjin,LE SSERAFIM,YUNJIN,female,girl_group,狐狸|小鹿,Vocal|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=LE+SSERAFIM+Yunjin,https://kprofiles.com/le-sserafim-members-profile/
lesserafim-kazuha,LE SSERAFIM,KAZUHA,female,girl_group,小鹿,Dance|Vocal|Visual,清冷|霸氣,神性|白月光感,https://www.youtube.com/results?search_query=LE+SSERAFIM+Kazuha,https://kprofiles.com/le-sserafim-members-profile/
lesserafim-eunchae,LE SSERAFIM,EUNCHAE,female,girl_group,小兔|狗狗,Vocal|Dance,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=LE+SSERAFIM+Eunchae,https://kprofiles.com/le-sserafim-members-profile/
blackpink-jisoo,BLACKPINK,JISOO,female,girl_group,小兔|小鹿,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=BLACKPINK+Jisoo,https://kprofiles.com/black-pink-members-profile/
blackpink-jennie,BLACKPINK,JENNIE,female,girl_group,貓咪,Rap|Vocal|All-rounder,冷感|霸氣|反差,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=BLACKPINK+Jennie,https://kprofiles.com/black-pink-members-profile/
blackpink-rose,BLACKPINK,ROSE,female,girl_group,小鹿,Vocal|Dance,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=BLACKPINK+Rose,https://kprofiles.com/black-pink-members-profile/
blackpink-lisa,BLACKPINK,LISA,female,girl_group,貓咪|狐狸,Dance|Rap|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=BLACKPINK+Lisa,https://kprofiles.com/black-pink-members-profile/
twice-nayeon,TWICE,NAYEON,female,girl_group,小兔,Vocal|Dance|Visual,甜系|反差,戀愛感|朋友感,https://www.youtube.com/results?search_query=TWICE+Nayeon,https://kprofiles.com/twice-members-profile/
twice-jeongyeon,TWICE,JEONGYEON,female,girl_group,狗狗,Vocal,清冷|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=TWICE+Jeongyeon,https://kprofiles.com/twice-members-profile/
twice-momo,TWICE,MOMO,female,girl_group,貓咪,Dance|Rap,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=TWICE+Momo,https://kprofiles.com/twice-members-profile/
twice-sana,TWICE,SANA,female,girl_group,小兔|狐狸,Vocal|Visual,甜系|反差,戀愛感|朋友感,https://www.youtube.com/results?search_query=TWICE+Sana,https://kprofiles.com/twice-members-profile/
twice-jihyo,TWICE,JIHYO,female,girl_group,小鹿,Vocal|Dance|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=TWICE+Jihyo,https://kprofiles.com/twice-members-profile/
twice-mina,TWICE,MINA,female,girl_group,小鹿|貓咪,Dance|Vocal|Visual,清冷,神性|白月光感,https://www.youtube.com/results?search_query=TWICE+Mina,https://kprofiles.com/twice-members-profile/
twice-dahyun,TWICE,DAHYUN,female,girl_group,小兔,Rap|Vocal,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=TWICE+Dahyun,https://kprofiles.com/twice-members-profile/
twice-chaeyoung,TWICE,CHAEYOUNG,female,girl_group,貓咪,Rap|Vocal,冷感|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=TWICE+Chaeyoung,https://kprofiles.com/twice-members-profile/
twice-tzuyu,TWICE,TZUYU,female,girl_group,小鹿,Dance|Vocal|Visual,清冷|甜系,神性|白月光感,https://www.youtube.com/results?search_query=TWICE+Tzuyu,https://kprofiles.com/twice-members-profile/
redvelvet-irene,Red Velvet,IRENE,female,girl_group,小鹿|貓咪,Rap|Dance|Visual,冷感|清冷,神性|戀愛感,https://www.youtube.com/results?search_query=Red+Velvet+Irene,https://kprofiles.com/red-velvet-members-profile/
redvelvet-seulgi,Red Velvet,SEULGI,female,girl_group,貓咪|狐狸,Vocal|Dance|All-rounder,霸氣|反差,舞台支配感|神性,https://www.youtube.com/results?search_query=Red+Velvet+Seulgi,https://kprofiles.com/red-velvet-members-profile/
redvelvet-wendy,Red Velvet,WENDY,female,girl_group,狗狗,Vocal,甜系|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=Red+Velvet+Wendy,https://kprofiles.com/red-velvet-members-profile/
redvelvet-joy,Red Velvet,JOY,female,girl_group,小鹿|狗狗,Vocal|Visual,甜系|反差,戀愛感|朋友感,https://www.youtube.com/results?search_query=Red+Velvet+Joy,https://kprofiles.com/red-velvet-members-profile/
redvelvet-yeri,Red Velvet,YERI,female,girl_group,小兔,Rap|Vocal,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=Red+Velvet+Yeri,https://kprofiles.com/red-velvet-members-profile/
itzy-yeji,ITZY,YEJI,female,girl_group,狐狸|貓咪,Dance|Vocal|All-rounder,冷感|霸氣|反差,舞台支配感|神性,https://www.youtube.com/results?search_query=ITZY+Yeji,https://kprofiles.com/itzy-members-profile/
itzy-lia,ITZY,LIA,female,girl_group,小鹿,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=ITZY+Lia,https://kprofiles.com/itzy-members-profile/
itzy-ryujin,ITZY,RYUJIN,female,girl_group,貓咪,Rap|Dance|Visual,冷感|霸氣,舞台支配感|戀愛感,https://www.youtube.com/results?search_query=ITZY+Ryujin,https://kprofiles.com/itzy-members-profile/
itzy-chaeryeong,ITZY,CHAERYEONG,female,girl_group,狐狸|小鹿,Dance|Vocal,清冷|反差,神性|朋友感,https://www.youtube.com/results?search_query=ITZY+Chaeryeong,https://kprofiles.com/itzy-members-profile/
itzy-yuna,ITZY,YUNA,female,girl_group,小鹿|小兔,Rap|Dance|Visual,甜系|反差,白月光感|舞台支配感,https://www.youtube.com/results?search_query=ITZY+Yuna,https://kprofiles.com/itzy-members-profile/
nmixx-lily,NMIXX,LILY,female,girl_group,狗狗,Vocal|All-rounder,甜系|霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=NMIXX+Lily,https://kprofiles.com/nmixx-profile/
nmixx-haewon,NMIXX,HAEWON,female,girl_group,狗狗|小兔,Vocal|Dance|All-rounder,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=NMIXX+Haewon,https://kprofiles.com/nmixx-profile/
nmixx-sullyoon,NMIXX,SULLYOON,female,girl_group,小鹿|小兔,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=NMIXX+Sullyoon,https://kprofiles.com/nmixx-profile/
nmixx-bae,NMIXX,BAE,female,girl_group,貓咪|狗狗,Vocal|Dance,反差|清冷,朋友感|戀愛感,https://www.youtube.com/results?search_query=NMIXX+Bae,https://kprofiles.com/nmixx-profile/
nmixx-jiwoo,NMIXX,JIWOO,female,girl_group,小兔|狗狗,Rap|Dance|Vocal,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=NMIXX+Jiwoo,https://kprofiles.com/nmixx-profile/
nmixx-kyujin,NMIXX,KYUJIN,female,girl_group,貓咪,Dance|Vocal|All-rounder,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=NMIXX+Kyujin,https://kprofiles.com/nmixx-profile/
babymonster-ruka,BABYMONSTER,RUKA,female,girl_group,貓咪|狐狸,Rap|Dance,冷感|霸氣,舞台支配感|神性,https://www.youtube.com/results?search_query=BABYMONSTER+Ruka,https://kprofiles.com/babymonster-members-profile
babymonster-pharita,BABYMONSTER,PHARITA,female,girl_group,小鹿,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=BABYMONSTER+Pharita,https://kprofiles.com/babymonster-members-profile
babymonster-asa,BABYMONSTER,ASA,female,girl_group,小兔|狐狸,Rap|Dance|All-rounder,霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=BABYMONSTER+Asa,https://kprofiles.com/babymonster-members-profile
babymonster-ahyeon,BABYMONSTER,AHYEON,female,girl_group,小鹿,Vocal|Rap|Dance|All-rounder,霸氣|反差,舞台支配感|戀愛感,https://www.youtube.com/results?search_query=BABYMONSTER+Ahyeon,https://kprofiles.com/babymonster-members-profile
babymonster-rami,BABYMONSTER,RAMI,female,girl_group,小兔,Vocal,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=BABYMONSTER+Rami,https://kprofiles.com/babymonster-members-profile
babymonster-rora,BABYMONSTER,RORA,female,girl_group,小鹿,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=BABYMONSTER+Rora,https://kprofiles.com/babymonster-members-profile
babymonster-chiquita,BABYMONSTER,CHIQUITA,female,girl_group,貓咪|小兔,Vocal|Dance,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=BABYMONSTER+Chiquita,https://kprofiles.com/babymonster-members-profile
idle-miyeon,(G)I-DLE,MIYEON,female,girl_group,小鹿,Vocal|Visual,清冷|甜系,白月光感|神性,https://www.youtube.com/results?search_query=GIDLE+Miyeon,https://kprofiles.com/idle-members-profile/
idle-minnie,(G)I-DLE,MINNIE,female,girl_group,貓咪,Vocal,清冷|反差,戀愛感|神性,https://www.youtube.com/results?search_query=GIDLE+Minnie,https://kprofiles.com/idle-members-profile/
idle-soyeon,(G)I-DLE,SOYEON,female,girl_group,狐狸|貓咪,Rap|Vocal|All-rounder,霸氣|反差,舞台支配感|神性,https://www.youtube.com/results?search_query=GIDLE+Soyeon,https://kprofiles.com/idle-members-profile/
