id,question,image_path,option_a,option_b,answer
jiwoo_001,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_001.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_002,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_002.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_003,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_003.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_004,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_004.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_005,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_005.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_006,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_006.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_007,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_007.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_008,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_008.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_009,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_009.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_010,請問圖片的人是誰？,data/play_zone/member_quiz_images/jiwoo_010.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_011,請問「卡套中」左邊是誰？,data/play_zone/member_quiz_images/jiwoo_011.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_012,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/jiwoo_012.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_013,請問圖片的穿長褲的是誰？,data/play_zone/member_quiz_images/jiwoo_013.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_014,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/jiwoo_014.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_015,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/jiwoo_015.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_016,請問圖片的上面是誰？,data/play_zone/member_quiz_images/jiwoo_016.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_017,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/jiwoo_017.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_018,請問圖片的嘟嘴的是誰？,data/play_zone/member_quiz_images/jiwoo_018.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_019,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/jiwoo_019.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_020,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/jiwoo_020.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
jiwoo_021,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/jiwoo_021.jpg,Jiwoo 金智友,Kyujin 張圭珍,A
karina_001,請問圖片的人是誰？,data/play_zone/member_quiz_images/karina_001.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_002,請問圖片的人是誰？,data/play_zone/member_quiz_images/karina_002.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_003,請問圖片的人是誰？,data/play_zone/member_quiz_images/karina_003.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_004,請問圖片的人是誰？,data/play_zone/member_quiz_images/karina_004.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_005,請問圖片的人是誰？,data/play_zone/member_quiz_images/karina_005.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_006,請問圖片的人是誰？,data/play_zone/member_quiz_images/karina_006.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_007,請問圖片的人是誰？,data/play_zone/member_quiz_images/karina_007.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_008,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/karina_008.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_009,請問圖片的右邊是誰？,data/play_zone/member_quiz_images/karina_009.jpg,Karina 劉知珉,Winter 金旼炡,A
karina_010,請問圖片的右邊是誰？,data/play_zone/member_quiz_images/karina_010.jpg,Karina 劉知珉,Winter 金旼炡,A
kyujin_001,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_001.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_002,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_002.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_003,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_003.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_004,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_004.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_005,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_005.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_006,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_006.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_007,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_007.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_008,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_008.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_009,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_009.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_010,請問圖片的人是誰？,data/play_zone/member_quiz_images/kyujin_010.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_011,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_011.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_012,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_012.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_013,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_013.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_014,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_014.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_015,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_015.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_016,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_016.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_017,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_017.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_018,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_018.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_019,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_019.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_020,請問圖片的後面是誰？,data/play_zone/member_quiz_images/kyujin_020.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_021,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_021.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_022,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_022.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_023,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_023.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_024,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_024.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_025,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_025.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_026,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_026.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_027,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_027.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_028,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_028.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_029,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_029.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
winter_001,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_001.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_002,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_002.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_003,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_003.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_004,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_004.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_005,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_005.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_006,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_006.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_007,請問圖片的右邊是誰？,data/play_zone/member_quiz_images/winter_007.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_008,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/winter_008.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_009,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/winter_009.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_010,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_010.jpg,Karina 劉知珉,Winter 金旼炡,B
